results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
1	[2, 0.478100400072, 0.521899599928]	[0, 0.0, 0.0]	[2, 0.47810040007199994, 0.5218995999280001]	[2, 0.478100400072, 0.521899599928]	[2, 0.37196114512995115, 0.62803885487004885]	
2	[2, 0.471363899144, 0.528636100856]	[0, 0.0, 0.0]	[2, 0.471363899144, 0.528636100856]	[2, 0.471363899144, 0.528636100856]	[2, 0.37055370127468923, 0.62944629872531077]	
1	[2, 0.476784066124, 0.523215933876]	[1, 0.9735, 0.0265]	[1, 0.655427516026772, 0.34457248397322804]	[1, 0.9735, 0.0265]	[1, 0.88267643177313859, 0.11732356822686137]	
2	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
2	[2, 0.477993517893, 0.522006482107]	[2, 0.0034, 0.9966]	[2, 0.3073063754928859, 0.692693624507114]	[2, 0.0034, 0.9966]	[2, 0.1019662152401839, 0.8980337847598161]	
2	[2, 0.138414999347, 0.861585000653]	[0, 0.0, 0.0]	[2, 0.138414999347, 0.861585000653]	[2, 0.138414999347, 0.861585000653]	[2, 0.30410001559370081, 0.69589998440629919]	
2	[2, 0.0513876647251, 0.948612335275]	[0, 0.0, 0.0]	[2, 0.05138766472509486, 0.9486123352749052]	[2, 0.0513876647251, 0.948612335275]	[2, 0.28787165025523964, 0.71212834974476036]	
2	[2, 0.290077129205, 0.709922870795]	[0, 0.0, 0.0]	[2, 0.290077129205, 0.709922870795]	[2, 0.290077129205, 0.709922870795]	[2, 0.33356529025863169, 0.66643470974136831]	
1	[1, 0.522607267049, 0.477392732951]	[1, 0.9735, 0.0265]	[1, 0.684770442934886, 0.315229557065114]	[1, 0.9735, 0.0265]	[1, 0.91852477975138624, 0.081475220248613797]	
1	[2, 0.447137398982, 0.552862601018]	[0, 0.0, 0.0]	[2, 0.447137398982, 0.552862601018]	[2, 0.447137398982, 0.552862601018]	[2, 0.36551039535580354, 0.63448960464419646]	
1	[1, 0.546522950195, 0.453477049805]	[0, 0.0, 0.0]	[1, 0.546522950195, 0.45347704980500003]	[1, 0.546522950195, 0.453477049805]	[2, 0.47523575858012901, 0.52476424141987099]	
