results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
2	[1, 0.50232746925, 0.49767253075]	[2, 0.0154, 0.9846]	[2, 0.26807587593513516, 0.7319241240648648]	[2, 0.0154, 0.9846]	[2, 0.1357706445722493, 0.8642293554277507]	
2	[1, 0.502866748028, 0.497133251972]	[2, 0.0104, 0.9896]	[2, 0.26595031249020545, 0.7340496875097946]	[2, 0.0104, 0.9896]	[2, 0.1336110944386516, 0.8663889055613484]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.528380409212, 0.471619590788]	[0, 0.0, 0.0]	[1, 0.528380409212, 0.471619590788]	[1, 0.528380409212, 0.471619590788]	[1, 0.7540045306628933, 0.2459954693371067]	
2	[1, 0.502865500197, 0.497134499803]	[2, 0.0104, 0.9896]	[2, 0.26594966496709194, 0.7340503350329081]	[2, 0.0104, 0.9896]	[2, 0.13361109505155344, 0.86638890494844656]	
2	[1, 0.502865428929, 0.497134571071]	[2, 0.0057, 0.9943]	[2, 0.2636885469036973, 0.7363114530963026]	[2, 0.0057, 0.9943]	[2, 0.13160792289292023, 0.86839207710707977]	
1	[1, 0.56730654491, 0.43269345509]	[0, 0.0, 0.0]	[1, 0.56730654491, 0.43269345509]	[1, 0.56730654491, 0.43269345509]	[1, 0.75397389408555893, 0.2460261059144411]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.50528156674, 0.49471843326]	[0, 0.0, 0.0]	[1, 0.50528156674, 0.49471843326]	[1, 0.50528156674, 0.49471843326]	[1, 0.75402270925054515, 0.2459772907494549]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.508329816316, 0.491670183684]	[0, 0.0, 0.0]	[1, 0.508329816316, 0.49167018368399995]	[1, 0.508329816316, 0.491670183684]	[1, 0.7540203103565456, 0.2459796896434544]	
1	[1, 0.569783287364, 0.430216712636]	[0, 0.0, 0.0]	[1, 0.569783287364, 0.43021671263600003]	[1, 0.569783287364, 0.430216712636]	[1, 0.75397194469356221, 0.24602805530643782]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
1	[1, 0.508317347083, 0.491682652917]	[0, 0.0, 0.0]	[1, 0.508317347083, 0.491682652917]	[1, 0.508317347083, 0.491682652917]	[1, 0.75402032016954335, 0.24597967983045668]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
1	[1, 0.502865454122, 0.497134545878]	[0, 0.0, 0.0]	[1, 0.502865454122, 0.497134545878]	[1, 0.502865454122, 0.497134545878]	[1, 0.75402461065782178, 0.24597538934217819]	
1	[1, 0.502865422295, 0.497134577705]	[0, 0.0, 0.0]	[1, 0.502865422295, 0.497134577705]	[1, 0.502865422295, 0.497134577705]	[1, 0.75402461068286863, 0.24597538931713139]	
1	[1, 0.588730106326, 0.411269893674]	[0, 0.0, 0.0]	[1, 0.588730106326, 0.411269893674]	[1, 0.588730106326, 0.411269893674]	[1, 0.75395703170578754, 0.24604296829421252]	
1	[1, 0.502865499399, 0.497134500601]	[0, 0.0, 0.0]	[1, 0.502865499399, 0.49713450060099995]	[1, 0.502865499399, 0.497134500601]	[1, 0.75402461062219028, 0.24597538937780972]	
1	[1, 0.502866307566, 0.497133692434]	[1, 0.9882, 0.0118]	[1, 0.7363511650072216, 0.26364883499277836]	[1, 0.9882, 0.0118]	[1, 0.92630793712576953, 0.073692062874230482]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
