results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
2	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
2	[1, 0.716744099361, 0.283255900639]	[0, 0.0, 0.0]	[1, 0.7167440993609999, 0.2832559006390001]	[1, 0.716744099361, 0.283255900639]	[1, 0.63266585227862238, 0.36733414772137757]	
1	[1, 0.824756046833, 0.175243953167]	[0, 0.0, 0.0]	[1, 0.8247560468330001, 0.17524395316699992]	[1, 0.824756046833, 0.175243953167]	[1, 0.6719677104372741, 0.32803228956272584]	
1	[1, 0.718168376187, 0.281831623813]	[0, 0.0, 0.0]	[1, 0.718168376187, 0.281831623813]	[1, 0.718168376187, 0.281831623813]	[1, 0.63319715860346459, 0.36680284139653541]	
1	[1, 0.729760006361, 0.270239993639]	[0, 0.0, 0.0]	[1, 0.729760006361, 0.270239993639]	[1, 0.729760006361, 0.270239993639]	[1, 0.63750912296077744, 0.36249087703922256]	
1	[1, 0.899794721694, 0.100205278306]	[0, 0.0, 0.0]	[1, 0.899794721694, 0.10020527830600001]	[1, 0.899794721694, 0.100205278306]	[1, 0.69795591545808189, 0.30204408454191806]	
1	[1, 0.718486805085, 0.281513194915]	[0, 0.0, 0.0]	[1, 0.718486805085, 0.28151319491500004]	[1, 0.718486805085, 0.281513194915]	[1, 0.63331589978019687, 0.36668410021980313]	
1	[1, 0.799344561147, 0.200655438853]	[0, 0.0, 0.0]	[1, 0.799344561147, 0.20065543885299997]	[1, 0.799344561147, 0.200655438853]	[1, 0.66291165258231122, 0.33708834741768878]	
1	[1, 0.718847607699, 0.281152392301]	[0, 0.0, 0.0]	[1, 0.718847607699, 0.281152392301]	[1, 0.718847607699, 0.281152392301]	[1, 0.633450422427011, 0.36654957757298895]	
1	[1, 0.730746449004, 0.269253550996]	[0, 0.0, 0.0]	[1, 0.730746449004, 0.269253550996]	[1, 0.730746449004, 0.269253550996]	[1, 0.63787506092313384, 0.36212493907686621]	
2	[2, 0.352136656325, 0.647863343675]	[0, 0.0, 0.0]	[2, 0.352136656325, 0.647863343675]	[2, 0.352136656325, 0.647863343675]	[2, 0.43947292748891731, 0.56052707251108269]	
2	[1, 0.631470309388, 0.368529690612]	[0, 0.0, 0.0]	[1, 0.631470309388, 0.368529690612]	[1, 0.631470309388, 0.368529690612]	[1, 0.60030879231040046, 0.39969120768959954]	
1	[1, 0.718168376234, 0.281831623766]	[1, 0.9576, 0.0424]	[1, 0.7694751527552858, 0.23052484724471423]	[1, 0.9576, 0.0424]	[1, 0.81817861474792375, 0.1818213852520762]	
1	[1, 0.5206148477, 0.4793851523]	[0, 0.0, 0.0]	[1, 0.5206148477, 0.4793851523]	[1, 0.5206148477, 0.4793851523]	[1, 0.55694152808634789, 0.44305847191365211]	
2	[1, 0.718455521755, 0.281544478245]	[0, 0.0, 0.0]	[1, 0.718455521755, 0.28154447824499995]	[1, 0.718455521755, 0.281544478245]	[1, 0.63330423503746269, 0.36669576496253725]	
